class,precision,recall,f1-score,support
0,0.1875,0.75,0.3,4.0
1,0.0,0.0,0.0,33.0
2,0.0,0.0,0.0,22.0
3,0.0,0.0,0.0,3.0
4,0.0,0.0,0.0,3.0
5,0.0,0.0,0.0,8.0
6,0.0,0.0,0.0,15.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,9.0
9,0.0,0.0,0.0,11.0
10,0.0,0.0,0.0,4.0
11,0.0,0.0,0.0,3.0
12,0.0,0.0,0.0,11.0
13,0.0,0.0,0.0,28.0
14,0.25,0.14285714285714285,0.18181818181818182,7.0
15,0.0,0.0,0.0,2.0
16,0.0,0.0,0.0,3.0
17,0.0,0.0,0.0,3.0
18,0.3333333333333333,0.75,0.46153846153846156,4.0
19,0.0,0.0,0.0,2.0
20,0.0,0.0,0.0,33.0
21,0.008695652173913044,1.0,0.017241379310344827,1.0
22,0.0,0.0,0.0,6.0
23,0.02127659574468085,0.25,0.0392156862745098,4.0
24,0.0,0.0,0.0,26.0
25,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,6.0
27,0.16666666666666666,1.0,0.2857142857142857,2.0
28,0.0,0.0,0.0,4.0
29,0.0,0.0,0.0,2.0
30,0.3333333333333333,1.0,0.5,3.0
31,0.0,0.0,0.0,5.0
32,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,2.0
34,0.0,0.0,0.0,2.0
35,0.0,0.0,0.0,6.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,2.0
40,0.2,1.0,0.3333333333333333,4.0
41,0.0,0.0,0.0,4.0
42,0.0,0.0,0.0,11.0
43,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,6.0
45,1.0,0.3333333333333333,0.5,3.0
46,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0
47,0.0,0.0,0.0,3.0
48,0.0,0.0,0.0,2.0
49,0.7142857142857143,0.5555555555555556,0.625,9.0
50,0.0,0.0,0.0,6.0
51,0.0,0.0,0.0,2.0
52,0.0,0.0,0.0,2.0
53,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,16.0
55,0.0,0.0,0.0,3.0
56,0.05714285714285714,1.0,0.10810810810810811,2.0
57,0.0,0.0,0.0,3.0
58,0.0,0.0,0.0,1.0
59,0.043478260869565216,0.14285714285714285,0.06666666666666667,7.0
60,0.0,0.0,0.0,6.0
61,0.0,0.0,0.0,5.0
62,1.0,0.2222222222222222,0.36363636363636365,9.0
63,0.0,0.0,0.0,4.0
64,0.0,0.0,0.0,4.0
65,0.0,0.0,0.0,11.0
66,0.0,0.0,0.0,4.0
67,0.0,0.0,0.0,4.0
68,0.0,0.0,0.0,8.0
69,0.0,0.0,0.0,10.0
70,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,1.0
72,0.0,0.0,0.0,16.0
73,0.0,0.0,0.0,15.0
74,0.0,0.0,0.0,1.0
75,0.0,0.0,0.0,33.0
76,0.06060606060606061,1.0,0.11428571428571428,2.0
77,0.0,0.0,0.0,8.0
78,0.0,0.0,0.0,41.0
79,0.0,0.0,0.0,6.0
80,0.09090909090909091,1.0,0.16666666666666666,1.0
81,0.0,0.0,0.0,12.0
82,0.6666666666666666,1.0,0.8,4.0
83,0.0,0.0,0.0,13.0
84,0.0,0.0,0.0,3.0
85,0.0,0.0,0.0,2.0
86,0.0,0.0,0.0,14.0
87,0.2857142857142857,1.0,0.4444444444444444,2.0
88,0.0,0.0,0.0,2.0
89,0.0,0.0,0.0,4.0
90,0.0,0.0,0.0,5.0
91,0.0,0.0,0.0,52.0
92,0.5107913669064749,0.6454545454545455,0.570281124497992,110.0
93,0.0,0.0,0.0,25.0
94,0.0,0.0,0.0,4.0
95,0.0,0.0,0.0,13.0
96,0.14814814814814814,0.5,0.22857142857142856,8.0
97,0.0,0.0,0.0,8.0
98,0.05,0.5,0.09090909090909091,2.0
99,0.0,0.0,0.0,11.0
100,0.0,0.0,0.0,9.0
101,0.08333333333333333,1.0,0.15384615384615385,1.0
102,0.0,0.0,0.0,1.0
103,0.8225806451612904,0.918918918918919,0.8680851063829788,111.0
104,0.0,0.0,0.0,6.0
105,0.0,0.0,0.0,2.0
macro avg,0.0674110671896842,0.15136351126917166,0.06967951757237162,1006.0
weighted avg,0.17649427827579242,0.21669980119284293,0.18411042798738975,1006.0
